simulation_id,timestamp,arrival_rate,expert_weights,complexity_sigma,tx_count,tx_by_model,total_bytes,duration_s,energy_j,power_w,j_per_tx,tx_per_second,blocks_used,start_block,end_block
149,2026-01-25T14:56:36.077561,13.46,"{""Fast"": 0.4632036859509176, ""Standard"": 0.3329680942716734, ""Complex"": 0.15719282897967785, ""Ensemble"": 0.04663539079773118}",0.612,99,"{""0"": 53, ""1"": 27, ""2"": 12, ""3"": 7}",42083,5.93,141.86,23.94,1.4329,16.71,1,302,303
150,2026-01-25T14:56:48.133728,29.35,"{""Fast"": 0.521068201320762, ""Standard"": 0.30960338126634807, ""Complex"": 0.12722996002278902, ""Ensemble"": 0.04209845739010092}",0.571,100,"{""0"": 47, ""2"": 15, ""3"": 5, ""1"": 33}",45698,5.92,147.08,24.83,1.4708,16.88,1,304,305
151,2026-01-25T14:57:00.300867,11.32,"{""Fast"": 0.4870778581640199, ""Standard"": 0.2765076412983806, ""Complex"": 0.17723388022560627, ""Ensemble"": 0.05918062031199327}",0.507,100,"{""0"": 44, ""1"": 29, ""2"": 23, ""3"": 4}",53143,6.23,152.87,24.54,1.5287,16.05,1,306,307
152,2026-01-25T14:57:12.339379,10.4,"{""Fast"": 0.5320314384324896, ""Standard"": 0.27847643481487855, ""Complex"": 0.13817936288915666, ""Ensemble"": 0.05131276386347511}",0.405,100,"{""2"": 16, ""1"": 37, ""0"": 42, ""3"": 5}",43801,6.23,148.35,23.81,1.4835,16.05,1,308,309
153,2026-01-25T14:57:24.351259,21.97,"{""Fast"": 0.5269243059400697, ""Standard"": 0.28665868570540004, ""Complex"": 0.13870767962120747, ""Ensemble"": 0.047709328733322835}",0.668,100,"{""0"": 50, ""1"": 34, ""2"": 13, ""3"": 3}",45001,6.23,149.34,23.98,1.4934,16.05,1,310,311
154,2026-01-25T14:57:36.363483,21.7,"{""Fast"": 0.5123045158770714, ""Standard"": 0.30988619133596773, ""Complex"": 0.1314514190942487, ""Ensemble"": 0.046357873692712166}",0.444,96,"{""0"": 57, ""2"": 9, ""1"": 24, ""3"": 6}",37317,6.22,149.54,24.04,1.5577,15.43,1,312,313
155,2026-01-25T14:57:48.331827,22.18,"{""Fast"": 0.5020704544064244, ""Standard"": 0.3022567238230129, ""Complex"": 0.14782031794093928, ""Ensemble"": 0.047852503829623465}",0.615,84,"{""0"": 45, ""1"": 24, ""2"": 10, ""3"": 5}",35679,6.2,145.42,23.45,1.7312,13.54,1,314,315
156,2026-01-25T14:58:00.096216,18.98,"{""Fast"": 0.5053735179592153, ""Standard"": 0.3067199804464395, ""Complex"": 0.14668752279249803, ""Ensemble"": 0.04121897880184738}",0.564,99,"{""0"": 51, ""1"": 34, ""2"": 12, ""3"": 2}",42172,5.92,145.75,24.61,1.4722,16.71,1,316,317
157,2026-01-25T14:58:12.284328,18.91,"{""Fast"": 0.5087778724186388, ""Standard"": 0.31449403946074195, ""Complex"": 0.12308639930946572, ""Ensemble"": 0.053641688811153616}",0.708,92,"{""1"": 33, ""0"": 47, ""2"": 9, ""3"": 3}",39621,6.22,150.19,24.16,1.6325,14.8,1,318,319
158,2026-01-25T14:58:24.070187,15.2,"{""Fast"": 0.49908821257722547, ""Standard"": 0.31801538841943805, ""Complex"": 0.1343343888636706, ""Ensemble"": 0.048562010139665844}",0.912,85,"{""0"": 44, ""1"": 26, ""2"": 13, ""3"": 2}",38799,5.9,142.4,24.14,1.6754,14.41,1,320,321
159,2026-01-25T14:58:36.350915,18.28,"{""Fast"": 0.5374629472639525, ""Standard"": 0.2522199572386942, ""Complex"": 0.1618933730344042, ""Ensemble"": 0.04842372246294904}",0.85,96,"{""0"": 56, ""1"": 19, ""2"": 18, ""3"": 3}",38533,6.22,148.72,23.89,1.5491,15.42,1,322,323
160,2026-01-25T14:58:48.342863,10.72,"{""Fast"": 0.5192853265879068, ""Standard"": 0.288264669572947, ""Complex"": 0.14397579557811094, ""Ensemble"": 0.04847420826103539}",0.967,100,"{""1"": 34, ""0"": 43, ""3"": 5, ""2"": 18}",51279,6.23,147.76,23.7,1.4776,16.04,1,324,325
161,2026-01-25T14:59:00.076160,9.47,"{""Fast"": 0.5101799797127551, ""Standard"": 0.3073481876972261, ""Complex"": 0.14159531780906456, ""Ensemble"": 0.04087651478095421}",0.572,100,"{""0"": 41, ""1"": 39, ""2"": 17, ""3"": 3}",43954,5.93,148.88,25.12,1.4888,16.87,1,326,327
162,2026-01-25T14:59:12.086435,24.32,"{""Fast"": 0.5173790737630047, ""Standard"": 0.319648978424129, ""Complex"": 0.1215155652849653, ""Ensemble"": 0.041456382527901146}",0.901,82,"{""1"": 29, ""0"": 41, ""3"": 6, ""2"": 6}",33894,5.9,141.7,24.03,1.728,13.91,1,328,329
163,2026-01-25T14:59:24.301640,23.85,"{""Fast"": 0.4691877590694045, ""Standard"": 0.33044913604909426, ""Complex"": 0.1551779954816642, ""Ensemble"": 0.04518510939983711}",0.906,100,"{""2"": 15, ""0"": 49, ""1"": 30, ""3"": 6}",52299,6.23,149.47,23.99,1.4947,16.05,1,330,331
164,2026-01-25T14:59:36.356367,21.36,"{""Fast"": 0.5080987807759447, ""Standard"": 0.30067343458204526, ""Complex"": 0.14618557012289168, ""Ensemble"": 0.04504221451911823}",0.311,100,"{""0"": 54, ""1"": 28, ""2"": 14, ""3"": 4}",37390,6.23,148.79,23.88,1.4879,16.05,1,332,333
